recipient,reason,rewardToken,rewardAmount
0x4a8B9E2C2940fdd39aceb384654dc59aCB58C337,ERC20,PYTH,283.958562
0x357dfdC34F93388059D2eb09996d80F233037cBa,ERC20,PYTH,280.667125
0xBB5f772A464980776b8B4c815A56365181B0E759,ERC20,PYTH,270.823614
0xdB02db34221f6116A993B4a70cEFe28b9aFF379B,ERC20,PYTH,269.215503
0x1d9D7711A5f625F5867F81DCb99B39A08C0B10fe,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,264.554656
0xFc1C09b6847dC0A07a2fb1025fDe79872D0c19EF,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,259.314945
0x0Ce390F18Af702Cca546297845a4A51D102123cf,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,255.644522
0xC5d3D004a223299C4F95Bb702534C14A32e8778c,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,254.459144
0xBB4370B2ec5875aDD56B9434aE9232d1BCe5e9C7,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,247.774482
0x15bD6E7cDF6632cf1565bf99984b5cCe6b49F87a,ERC20,PYTH,243.001278
0xE6a3b16e73bd666a699e9C4df286BfF35B3e62B4,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,241.113108
0xC2789bABe1a5cd95E81AE5f2444E82E1391bF7ce,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,233.111642
0x02eF8147E2D0997cCA48d99f01bAD846D16558fa,ERC20,PYTH,228.842122
0xbE18f84532d8f7fb6d7919401C0096f3e257DB8b,ERC20,PYTH,226.127378
0x597F8B4977094539406E260960F4944B25789a92,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,225.940072
0x9d993fCF62DcA90842e770f8E78a07109225253d,ERC20,PYTH,223.36935
0xb7025E51a5DCcA0cb1C03f66fE31F5dCFfd599aa,ERC20,PYTH,220.490676
0x67BC76E8Fd78CC59594C9F43C643eA7CAfA48669,ERC20,PYTH,218.433319
0xf4FE054C29845Ea85B4117c75DD1350472329aa0,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,217.219245
0x31e015e65b5FB16b8F3f415a435DA19aF5B3EFd4,ERC20,PYTH,215.490677
0xDD4459da878866aF221845Bbce0F936B47D1Eb24,ERC20,PYTH,215.449191
0x4060A97Fe2ac24D912472aeA5D1C063779360FEF,ERC20,PYTH,210.118607
0x37b954364592c0B4254813537e8b3cC4ae08e743,ERC20,PYTH,208.409445
0x1C4E440e9f9069427d11bB1bD73e57458eeA9577,ERC20,PYTH,205.552629
0x14860ed3597D27afD017513Ab9EF9Cb9CC16F1f7,ERC20,PYTH,205.367885
0xA7e6613e44D94B83056ef513A6bE0d2c7903318D,ERC20,PYTH,204.662481
0x8d605e606b3AEe143ff0d039F63100a52F17d85F,ERC20,PYTH,201.234558
0x66bB7C182672a4b4a1C5891B9fd708b241Ef3622,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,197.388431
